comparison,metric,mean_diff,ci_low,ci_high,superiority_prob
Original: Quality + PA - Original: Quality + HR,roc_auc,2.6912992869448925e-05,-0.018265550239234492,0.017653661704887334,0.4909090909090909
Original: Quality + PA - Original: Quality + HR,f1,-0.0038087915257048704,-0.02647430337589077,0.010967978143421523,0.05909090909090909
Original: Quality + PA - Original: Quality + HR,brier,8.717819230249912e-05,-0.0055704468788892215,0.004469510244345752,0.4090909090909091
Original: Quality + PA - Original: Quality + HR,ece,0.0014108727403945986,-0.025339332229641284,0.030990609501569445,0.4318181818181818
Original: Quality + PA - Original: Sleep + PA,roc_auc,0.0013034415733147852,-0.011014441287878826,0.0200954675945935,0.5
Original: Quality + PA - Original: Sleep + PA,f1,0.004099721059718317,-0.0036140641338445433,0.027482907363810274,0.2818181818181818
Original: Quality + PA - Original: Sleep + PA,brier,-0.004822561195586598,-0.009653938150787219,0.00011802906092665461,0.9681818181818181
Original: Quality + PA - Original: Sleep + PA,ece,-0.006108766417764958,-0.03822046726610801,0.019516299761360312,0.6954545454545454
Original: Quality + PA - Original: Sleep + HR,roc_auc,-0.00019700837315246401,-0.019790091336322632,0.023779665111236775,0.45
Original: Quality + PA - Original: Sleep + HR,f1,0.002188287168862331,-0.019110966473619918,0.02583317778330849,0.18636363636363637
Original: Quality + PA - Original: Sleep + HR,brier,-0.0034180810085622125,-0.011083086613186117,0.0023376104835549773,0.9045454545454545
Original: Quality + PA - Original: Sleep + HR,ece,-0.002611934304638629,-0.03437215965176905,0.024983400155177367,0.5590909090909091
Original: Quality + PA - Compressed Derived,roc_auc,0.0014132521636360887,-0.014465168365770784,0.019422415953599934,0.5454545454545454
Original: Quality + PA - Compressed Derived,f1,-0.0017727148677561678,-0.0226448329331733,0.0184691810813612,0.07727272727272727
Original: Quality + PA - Compressed Derived,brier,-0.002292792757473812,-0.010244413945648652,0.0033167792572373314,0.7818181818181819
Original: Quality + PA - Compressed Derived,ece,-0.005443469759402087,-0.040684354087702816,0.028487683190736142,0.6727272727272727
Original: Quality + PA - Compressed + Interaction,roc_auc,0.003297860854811227,-0.013711080410366621,0.031210221195396303,0.6090909090909091
Original: Quality + PA - Compressed + Interaction,f1,0.0016819780647345497,-0.015089756834402035,0.02478403861544621,0.1590909090909091
Original: Quality + PA - Compressed + Interaction,brier,-0.0026884949688204996,-0.012149753069648267,0.005004492512688796,0.7772727272727272
Original: Quality + PA - Compressed + Interaction,ece,0.00013724849908533957,-0.03306464332298179,0.034628697180616445,0.4954545454545455
