repeat,fold,scoring,model,model_label,best_c,best_weight,roc_auc,f1,accuracy,precision,recall,brier,ece
1,1,roc_auc,orig_quality_hr,Original: Quality + HR,0.1,None,0.9721407624633431,0.9117647058823529,0.92,0.8378378378378378,1.0,0.062039879606134045,0.05981675357664812
1,1,roc_auc,orig_sleep_pa,Original: Sleep + PA,0.01,None,0.9655425219941348,0.8787878787878788,0.8933333333333333,0.8285714285714286,0.9354838709677419,0.09421024605830564,0.1456304941234962
1,1,roc_auc,orig_sleep_hr,Original: Sleep + HR,0.001,None,0.967008797653959,0.45,0.7066666666666667,1.0,0.2903225806451613,0.1890205292214459,0.3146141453298385
1,1,roc_auc,orig_quality_pa,Original: Quality + PA,0.01,balanced,0.967741935483871,0.8787878787878788,0.8933333333333333,0.8285714285714286,0.9354838709677419,0.09394726344764845,0.18041916293769014
1,1,roc_auc,compressed,Compressed Derived,0.001,None,0.9736070381231672,0.5238095238095238,0.7333333333333333,1.0,0.3548387096774194,0.18200466047673813,0.3069071058268532
1,1,roc_auc,enhanced,Compressed + Interaction,0.01,balanced,0.9692082111436949,0.8787878787878788,0.8933333333333333,0.8285714285714286,0.9354838709677419,0.08284290318806889,0.1290383988460943
1,2,roc_auc,orig_quality_hr,Original: Quality + HR,0.01,None,0.9241202346041055,0.9206349206349206,0.9333333333333333,0.90625,0.9354838709677419,0.10718842399284888,0.190983160630083
1,2,roc_auc,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9347507331378299,0.9206349206349206,0.9333333333333333,0.90625,0.9354838709677419,0.07752393919503692,0.0664945821213236
1,2,roc_auc,orig_sleep_hr,Original: Sleep + HR,1.0,balanced,0.9398826979472141,0.90625,0.92,0.8787878787878788,0.9354838709677419,0.07406855822362492,0.07107740331729431
1,2,roc_auc,orig_quality_pa,Original: Quality + PA,1000.0,balanced,0.9314516129032258,0.9206349206349206,0.9333333333333333,0.90625,0.9354838709677419,0.07412240041756338,0.06805994090134691
1,2,roc_auc,compressed,Compressed Derived,0.1,None,0.9241202346041054,0.9206349206349206,0.9333333333333333,0.90625,0.9354838709677419,0.07458823168446173,0.07757793719124276
