comparison,metric,mean_diff,ci_low,ci_high
Original: Quality + PA - Original: Quality + HR,roc_auc,-0.00156138466434792,-0.03542760690172538,0.018673835125448027
Original: Quality + PA - Original: Quality + HR,f1,-0.0028239563718149728,-0.03307194664699734,0.015858103030809
Original: Quality + PA - Original: Quality + HR,brier,-0.00016073361114252345,-0.007994696711522446,0.006866039633361843
Original: Quality + PA - Original: Quality + HR,ece,0.0025668800610254227,-0.028161888936380625,0.044647768288764066
Original: Quality + PA - Original: Sleep + PA,roc_auc,-0.0003198337463153761,-0.012612528132032915,0.014300450112528132
Original: Quality + PA - Original: Sleep + PA,f1,0.0028720573346998845,-0.0010002778549597071,0.03431855500821027
Original: Quality + PA - Original: Sleep + PA,brier,-0.005946629556302642,-0.017043978181497825,0.0007278201089646342
Original: Quality + PA - Original: Sleep + PA,ece,-0.007673912312411682,-0.04407575515114524,0.02347722264775944
Original: Quality + PA - Original: Sleep + HR,roc_auc,-0.0011693264225147327,-0.020386346586646512,0.019578853046594916
Original: Quality + PA - Original: Sleep + HR,f1,0.002047636657338031,-0.0010002778549597071,0.03431855500821027
Original: Quality + PA - Original: Sleep + HR,brier,-0.004594184627101717,-0.01671878792034888,0.006627241448861826
Original: Quality + PA - Original: Sleep + HR,ece,-0.004111205727439934,-0.03575489484637864,0.030629326791252957
Original: Quality + PA - Compressed Derived,roc_auc,0.0019640326748353643,-0.018923480870217415,0.030295698924731104
Original: Quality + PA - Compressed Derived,f1,-0.0005153115116950241,-0.04047711200325277,0.03431855500821027
Original: Quality + PA - Compressed Derived,brier,-0.003490572891722642,-0.013875365211713559,0.006039042095891551
Original: Quality + PA - Compressed Derived,ece,-0.0037725852219963026,-0.042336460126172246,0.042897010791556923
Original: Quality + PA - Compressed + Interaction,roc_auc,0.002109154182485004,-0.018923480870217415,0.03244623655913975
Original: Quality + PA - Compressed + Interaction,f1,0.004268113038191424,-0.0010002778549597071,0.03431855500821027
Original: Quality + PA - Compressed + Interaction,brier,-0.0033609024517027076,-0.014587773772917225,0.008302035010692292
Original: Quality + PA - Compressed + Interaction,ece,0.002522241868579922,-0.03093456542529072,0.04346631154396032
