replicate,model,model_label,n_train,n_test,best_c,best_weight,roc_auc,f1,accuracy,precision,recall,brier,ece
1,orig_quality_hr,Original: Quality + HR,360,138,0.1,None,0.9364396654719236,0.8539325842696629,0.9057971014492754,0.8636363636363636,0.8444444444444444,0.06695708185420356,0.01968391908592967
1,orig_sleep_pa,Original: Sleep + PA,360,138,0.1,None,0.9381123058542413,0.8539325842696629,0.9057971014492754,0.8636363636363636,0.8444444444444444,0.07286810474850297,0.023224382773010994
1,orig_sleep_hr,Original: Sleep + HR,360,138,0.1,None,0.9357228195937873,0.8539325842696629,0.9057971014492754,0.8636363636363636,0.8444444444444444,0.07090234251726607,0.023290227335667445
1,orig_quality_pa,Original: Quality + PA,360,138,0.1,None,0.9369175627240143,0.8539325842696629,0.9057971014492754,0.8636363636363636,0.8444444444444444,0.0678476483260525,0.018409728557919607
1,compressed,Compressed Derived,360,138,0.1,None,0.933811230585424,0.8636363636363636,0.9130434782608695,0.8837209302325582,0.8444444444444444,0.06939599164183859,0.027181831612996345
1,enhanced,Compressed + Interaction,360,138,0.1,None,0.9318996415770608,0.8539325842696629,0.9057971014492754,0.8636363636363636,0.8444444444444444,0.0727722754689796,0.019502048163036346
2,orig_quality_hr,Original: Quality + HR,358,117,0.1,None,0.9467164179104478,0.9411764705882353,0.9487179487179487,0.9230769230769231,0.96,0.05982614172587864,0.05820466929933967
2,orig_sleep_pa,Original: Sleep + PA,358,117,0.1,None,0.9514925373134328,0.9411764705882353,0.9487179487179487,0.9230769230769231,0.96,0.06292822784768119,0.0644993719874986
2,orig_sleep_hr,Original: Sleep + HR,358,117,0.1,None,0.9532835820895522,0.9411764705882353,0.9487179487179487,0.9230769230769231,0.96,0.057588758830608724,0.07068440015183661
2,orig_quality_pa,Original: Quality + PA,358,117,0.1,None,0.9485074626865673,0.9411764705882353,0.9487179487179487,0.9230769230769231,0.96,0.060894362699931905,0.05075566353731722
2,compressed,Compressed Derived,358,117,0.1,None,0.9541791044776119,0.9411764705882353,0.9487179487179487,0.9230769230769231,0.96,0.06236293486679417,0.07155417763559749
2,enhanced,Compressed + Interaction,358,117,0.1,balanced,0.954179104477612,0.9411764705882353,0.9487179487179487,0.9230769230769231,0.96,0.06477786703005389,0.06765611138492457
3,orig_quality_hr,Original: Quality + HR,383,139,0.1,None,0.9261057173678533,0.8,0.8992805755395683,0.8235294117647058,0.7777777777777778,0.07446898504629212,0.054677205238621004
3,orig_sleep_pa,Original: Sleep + PA,383,139,0.1,None,0.901294498381877,0.8,0.8992805755395683,0.8235294117647058,0.7777777777777778,0.0823076712393073,0.0788231957412393
3,orig_sleep_hr,Original: Sleep + HR,383,139,0.1,None,0.930151024811219,0.8,0.8992805755395683,0.8235294117647058,0.7777777777777778,0.07838946948831964,0.07254851782878913
3,orig_quality_pa,Original: Quality + PA,383,139,0.1,None,0.901294498381877,0.8,0.8992805755395683,0.8235294117647058,0.7777777777777778,0.07624641535028454,0.053538066012788724
3,compressed,Compressed Derived,383,139,0.1,balanced,0.9288025889967637,0.8,0.8992805755395683,0.8235294117647058,0.7777777777777778,0.07597833518572812,0.05931619756956732
3,enhanced,Compressed + Interaction,383,139,0.1,balanced,0.9288025889967637,0.8,0.8992805755395683,0.8235294117647058,0.7777777777777778,0.07784760621075869,0.05381077902664964
4,orig_quality_hr,Original: Quality + HR,394,132,0.1,None,0.93359375,0.9115646258503401,0.9015151515151515,0.8481012658227848,0.9852941176470589,0.08335195796972818,0.06474530914532917
4,orig_sleep_pa,Original: Sleep + PA,394,132,0.1,None,0.9310661764705883,0.896551724137931,0.8863636363636364,0.8441558441558441,0.9558823529411765,0.08915954445804603,0.07322300405708522
4,orig_sleep_hr,Original: Sleep + HR,394,132,0.1,None,0.9260110294117647,0.896551724137931,0.8863636363636364,0.8441558441558441,0.9558823529411765,0.08803154899593967,0.06716206524617979
4,orig_quality_pa,Original: Quality + PA,394,132,0.1,None,0.9386488970588235,0.896551724137931,0.8863636363636364,0.8441558441558441,0.9558823529411765,0.08241443888780763,0.06517961072141205
4,compressed,Compressed Derived,394,132,0.1,None,0.928768382352941,0.896551724137931,0.8863636363636364,0.8441558441558441,0.9558823529411765,0.08377130141352833,0.04933184847953149
4,enhanced,Compressed + Interaction,394,132,0.1,None,0.93359375,0.896551724137931,0.8863636363636364,0.8441558441558441,0.9558823529411765,0.08663216072738393,0.05030581088910898
5,orig_quality_hr,Original: Quality + HR,361,136,0.1,None,0.9414639690838826,0.9026548672566371,0.9191176470588235,0.85,0.9622641509433962,0.07068893134496855,0.05802328186268714
5,orig_sleep_pa,Original: Sleep + PA,361,136,0.1,None,0.9512389179358945,0.9026548672566371,0.9191176470588235,0.85,0.9622641509433962,0.07290841746452495,0.08104177841564253
5,orig_sleep_hr,Original: Sleep + HR,361,136,0.1,balanced,0.9405546715162537,0.9026548672566371,0.9191176470588235,0.85,0.9622641509433962,0.07288276755368144,0.06012256143278314
5,orig_quality_pa,Original: Quality + PA,361,136,0.1,None,0.954421459422596,0.9026548672566371,0.9191176470588235,0.85,0.9622641509433962,0.06961182007952148,0.07603647233815741
5,compressed,Compressed Derived,361,136,0.1,None,0.9416912934757902,0.9026548672566371,0.9191176470588235,0.85,0.9622641509433962,0.07220826648020691,0.05882855863495778
5,enhanced,Compressed + Interaction,361,136,0.1,None,0.9412366446919754,0.9026548672566371,0.9191176470588235,0.85,0.9622641509433962,0.07238185642632314,0.06713444902523759
6,orig_quality_hr,Original: Quality + HR,382,143,0.1,None,0.9650943396226416,0.9142857142857143,0.9370629370629371,0.9230769230769231,0.9056603773584906,0.056747434836942404,0.07564493242342567
6,orig_sleep_pa,Original: Sleep + PA,382,143,0.1,None,0.9645702306079664,0.9142857142857143,0.9370629370629371,0.9230769230769231,0.9056603773584906,0.06652345149243671,0.08476665821061194
6,orig_sleep_hr,Original: Sleep + HR,382,143,0.1,None,0.9664570230607966,0.9142857142857143,0.9370629370629371,0.9230769230769231,0.9056603773584906,0.05866540263013298,0.07311242906501965
6,orig_quality_pa,Original: Quality + PA,382,143,0.1,None,0.9606918238993711,0.9320388349514563,0.951048951048951,0.96,0.9056603773584906,0.062022398919260244,0.08510930463431267
6,compressed,Compressed Derived,382,143,0.1,None,0.9582809224318657,0.9142857142857143,0.9370629370629371,0.9230769230769231,0.9056603773584906,0.05850243873469781,0.09463900173146522
6,enhanced,Compressed + Interaction,382,143,0.1,None,0.9570230607966456,0.9142857142857143,0.9370629370629371,0.9230769230769231,0.9056603773584906,0.0575949633829855,0.07756739713828753
7,orig_quality_hr,Original: Quality + HR,350,140,0.1,None,0.9164598842018197,0.8923076923076924,0.9,0.8529411764705882,0.9354838709677419,0.08391953544366239,0.03698819559842823
7,orig_sleep_pa,Original: Sleep + PA,350,140,1.0,None,0.9167700578990902,0.875,0.8857142857142857,0.8484848484848485,0.9032258064516129,0.09235843920175364,0.0659162774215678
7,orig_sleep_hr,Original: Sleep + HR,350,140,0.1,balanced,0.9233870967741935,0.875,0.8857142857142857,0.8484848484848485,0.9032258064516129,0.08949634065734668,0.056938840568870684
7,orig_quality_pa,Original: Quality + PA,350,140,0.1,None,0.923490488006617,0.875,0.8857142857142857,0.8484848484848485,0.9032258064516129,0.08526869841902887,0.04682121513065128
7,compressed,Compressed Derived,350,140,1.0,balanced,0.9198717948717949,0.8923076923076924,0.9,0.8529411764705882,0.9354838709677419,0.08637663673482614,0.08227953687950465
7,enhanced,Compressed + Interaction,350,140,0.1,None,0.9260752688172044,0.875,0.8857142857142857,0.8484848484848485,0.9032258064516129,0.08705767277106431,0.0361607267670272
8,orig_quality_hr,Original: Quality + HR,357,180,0.1,None,0.9393650793650794,0.8843537414965986,0.9055555555555556,0.9027777777777778,0.8666666666666667,0.07562097244403468,0.05648268135080468
8,orig_sleep_pa,Original: Sleep + PA,357,180,0.1,None,0.9361269841269841,0.8843537414965986,0.9055555555555556,0.9027777777777778,0.8666666666666667,0.07876270220293381,0.052525494819380084
8,orig_sleep_hr,Original: Sleep + HR,357,180,1.0,None,0.9393015873015874,0.8843537414965986,0.9055555555555556,0.9027777777777778,0.8666666666666667,0.0815842844855906,0.05181527282874326
8,orig_quality_pa,Original: Quality + PA,357,180,0.1,None,0.9377142857142857,0.8904109589041096,0.9111111111111111,0.9154929577464789,0.8666666666666667,0.07665195190459205,0.056113154993847364
8,compressed,Compressed Derived,357,180,1.0,None,0.9396190476190477,0.8904109589041096,0.9111111111111111,0.9154929577464789,0.8666666666666667,0.07919732728711933,0.05741240162766146
8,enhanced,Compressed + Interaction,357,180,0.1,None,0.9405079365079366,0.8904109589041096,0.9111111111111111,0.9154929577464789,0.8666666666666667,0.07885780838596076,0.05481917105124362
9,orig_quality_hr,Original: Quality + HR,350,151,0.1,None,0.9402880224798031,0.881578947368421,0.8807947019867549,0.8481012658227848,0.9178082191780822,0.08418196423162175,0.04083807818472106
9,orig_sleep_pa,Original: Sleep + PA,350,151,1.0,None,0.9247453459782227,0.8758169934640523,0.8741721854304636,0.8375,0.9178082191780822,0.09715265949685077,0.0772688057323209
9,orig_sleep_hr,Original: Sleep + HR,350,151,0.1,None,0.9426589392342817,0.881578947368421,0.8807947019867549,0.8481012658227848,0.9178082191780822,0.09026863033212515,0.042843622282260754
9,orig_quality_pa,Original: Quality + PA,350,151,1.0,None,0.9390586582367404,0.881578947368421,0.8807947019867549,0.8481012658227848,0.9178082191780822,0.08792898316086135,0.044766589987617636
9,compressed,Compressed Derived,350,151,0.1,None,0.9417808219178081,0.881578947368421,0.8807947019867549,0.8481012658227848,0.9178082191780822,0.08730170313078366,0.04792769880596333
9,enhanced,Compressed + Interaction,350,151,0.1,balanced,0.9415173867228661,0.8758169934640523,0.8741721854304636,0.8375,0.9178082191780822,0.0985766484079051,0.07269579617421293
10,orig_quality_hr,Original: Quality + HR,385,135,0.1,balanced,0.9630018674136321,0.9215686274509803,0.9407407407407408,0.9215686274509803,0.9215686274509803,0.0517830612383158,0.07858451482827604
10,orig_sleep_pa,Original: Sleep + PA,385,135,0.1,balanced,0.9723389355742297,0.94,0.9555555555555556,0.9591836734693877,0.9215686274509803,0.060534758739031275,0.09366227437290553
10,orig_sleep_hr,Original: Sleep + HR,385,135,0.1,balanced,0.9756069094304388,0.94,0.9555555555555556,0.9591836734693877,0.9215686274509803,0.05714602706468492,0.07894033080408501
10,orig_quality_pa,Original: Quality + PA,385,135,0.1,balanced,0.963702147525677,0.9215686274509803,0.9407407407407408,0.9215686274509803,0.9215686274509803,0.05310701847162302,0.08154474390716938
10,compressed,Compressed Derived,385,135,0.1,None,0.9611344537815125,0.94,0.9555555555555556,0.9591836734693877,0.9215686274509803,0.06134321891945552,0.09042924531464065
10,enhanced,Compressed + Interaction,385,135,0.1,balanced,0.9606676003734828,0.94,0.9555555555555556,0.9591836734693877,0.9215686274509803,0.05778089907458562,0.081703096010355
11,orig_quality_hr,Original: Quality + HR,395,149,0.1,balanced,0.938058867362146,0.8925619834710744,0.912751677852349,0.9,0.8852459016393442,0.07729588928960565,0.04479729840388321
11,orig_sleep_pa,Original: Sleep + PA,395,149,0.1,balanced,0.9323770491803278,0.8925619834710744,0.912751677852349,0.9,0.8852459016393442,0.07800995451807134,0.05929194296872093
11,orig_sleep_hr,Original: Sleep + HR,395,149,0.1,balanced,0.9390834575260805,0.8925619834710744,0.912751677852349,0.9,0.8852459016393442,0.07835693242794742,0.05909711008768032
11,orig_quality_pa,Original: Quality + PA,395,149,0.1,balanced,0.9330290611028317,0.8925619834710744,0.912751677852349,0.9,0.8852459016393442,0.0766927587266562,0.028256458611407565
11,compressed,Compressed Derived,395,149,0.1,balanced,0.9321907600596125,0.8925619834710744,0.912751677852349,0.9,0.8852459016393442,0.07796050519950985,0.04416490822334734
11,enhanced,Compressed + Interaction,395,149,0.1,balanced,0.9256706408345754,0.8925619834710744,0.912751677852349,0.9,0.8852459016393442,0.07823970145245479,0.050948660689517686
12,orig_quality_hr,Original: Quality + HR,395,136,0.1,None,0.9697035745422844,0.9375,0.9411764705882353,0.9090909090909091,0.967741935483871,0.05633225493726403,0.08195658378542117
12,orig_sleep_pa,Original: Sleep + PA,395,136,0.1,None,0.9724280732345248,0.9206349206349206,0.9264705882352942,0.90625,0.9354838709677419,0.06150265100725409,0.09059466374782481
12,orig_sleep_hr,Original: Sleep + HR,395,136,0.1,None,0.9685047951176984,0.9206349206349206,0.9264705882352942,0.90625,0.9354838709677419,0.05955679199768031,0.07307717375250457
12,orig_quality_pa,Original: Quality + PA,395,136,0.1,None,0.9718831734960768,0.9375,0.9411764705882353,0.9090909090909091,0.967741935483871,0.05685794357564019,0.09290812914071182
12,compressed,Compressed Derived,395,136,1.0,None,0.9675239755884918,0.9375,0.9411764705882353,0.9090909090909091,0.967741935483871,0.05430148634099924,0.06500581003000429
12,enhanced,Compressed + Interaction,395,136,0.1,None,0.9738448125544901,0.9206349206349206,0.9264705882352942,0.90625,0.9354838709677419,0.057581310764497275,0.0744310746561124
13,orig_quality_hr,Original: Quality + HR,339,140,10.0,balanced,0.9103839037927844,0.8539325842696629,0.9071428571428571,0.8837209302325582,0.8260869565217391,0.08617932648535911,0.06407891790795243
13,orig_sleep_pa,Original: Sleep + PA,339,140,0.1,None,0.9307354301572618,0.8723404255319149,0.9142857142857143,0.8541666666666666,0.8913043478260869,0.08142982321496486,0.05470491739120352
13,orig_sleep_hr,Original: Sleep + HR,339,140,0.1,balanced,0.9348982423681776,0.8723404255319149,0.9142857142857143,0.8541666666666666,0.8913043478260869,0.07814484443529127,0.0745463086541873
13,orig_quality_pa,Original: Quality + PA,339,140,0.1,None,0.93027289546716,0.8723404255319149,0.9142857142857143,0.8541666666666666,0.8913043478260869,0.0756989293869359,0.04541028626495281
13,compressed,Compressed Derived,339,140,1.0,balanced,0.9219472710453284,0.8666666666666667,0.9142857142857143,0.8863636363636364,0.8478260869565217,0.07776505322018541,0.06345556202573924
13,enhanced,Compressed + Interaction,339,140,0.1,balanced,0.9335106382978722,0.8723404255319149,0.9142857142857143,0.8541666666666666,0.8913043478260869,0.07809213289808713,0.0767635804776758
14,orig_quality_hr,Original: Quality + HR,377,141,0.1,None,0.9296594982078854,0.8817204301075269,0.9219858156028369,0.9111111111111111,0.8541666666666666,0.06859619754373195,0.015761601166558996
14,orig_sleep_pa,Original: Sleep + PA,377,141,0.1,None,0.9286514336917563,0.8631578947368421,0.9078014184397163,0.8723404255319149,0.8541666666666666,0.07495254872833415,0.045648651103267324
14,orig_sleep_hr,Original: Sleep + HR,377,141,0.1,balanced,0.9331317204301076,0.8631578947368421,0.9078014184397163,0.8723404255319149,0.8541666666666666,0.07354871824154162,0.052824817786939454
14,orig_quality_pa,Original: Quality + PA,377,141,0.1,None,0.9240591397849462,0.8631578947368421,0.9078014184397163,0.8723404255319149,0.8541666666666666,0.06956791722126361,0.018777478839059204
14,compressed,Compressed Derived,377,141,0.1,None,0.9254032258064515,0.8817204301075269,0.9219858156028369,0.9111111111111111,0.8541666666666666,0.06985148227518381,0.026025187704771597
14,enhanced,Compressed + Interaction,377,141,0.1,None,0.9233870967741935,0.8817204301075269,0.9219858156028369,0.9111111111111111,0.8541666666666666,0.07168568862695483,0.020081152412710947
15,orig_quality_hr,Original: Quality + HR,404,118,1.0,None,0.9234014930217461,0.8533333333333334,0.9067796610169492,0.8888888888888888,0.8205128205128205,0.07587069273288968,0.07530472045532677
15,orig_sleep_pa,Original: Sleep + PA,404,118,0.1,None,0.9349237260629665,0.9,0.9322033898305084,0.8780487804878049,0.9230769230769231,0.06682498267121673,0.0862433759746765
15,orig_sleep_hr,Original: Sleep + HR,404,118,1.0,None,0.9339500162284974,0.9,0.9322033898305084,0.8780487804878049,0.9230769230769231,0.06334680490125963,0.06342561204177534
15,orig_quality_pa,Original: Quality + PA,404,118,1.0,None,0.9308666017526778,0.9113924050632911,0.940677966101695,0.9,0.9230769230769231,0.06358945332294999,0.06684847092204244
15,compressed,Compressed Derived,404,118,1.0,None,0.9234014930217462,0.868421052631579,0.9152542372881356,0.8918918918918919,0.8461538461538461,0.07324169644505812,0.08358367854077861
15,enhanced,Compressed + Interaction,404,118,1.0,None,0.9229146381045116,0.868421052631579,0.9152542372881356,0.8918918918918919,0.8461538461538461,0.07261293191788226,0.08319409175327963
16,orig_quality_hr,Original: Quality + HR,315,178,0.1,None,0.9405934343434343,0.9438202247191011,0.9438202247191011,0.9333333333333333,0.9545454545454546,0.06986109580895701,0.08956422669570396
16,orig_sleep_pa,Original: Sleep + PA,315,178,0.1,None,0.9416666666666665,0.9333333333333333,0.9325842696629213,0.9130434782608695,0.9545454545454546,0.06998044369656664,0.083681286163268
16,orig_sleep_hr,Original: Sleep + HR,315,178,0.1,None,0.9414141414141413,0.9438202247191011,0.9438202247191011,0.9333333333333333,0.9545454545454546,0.07233070694089883,0.10001308299375594
16,orig_quality_pa,Original: Quality + PA,315,178,0.1,None,0.9386994949494949,0.9438202247191011,0.9438202247191011,0.9333333333333333,0.9545454545454546,0.06793069025035564,0.08260501124600511
16,compressed,Compressed Derived,315,178,1.0,None,0.93125,0.9230769230769231,0.9213483146067416,0.8936170212765957,0.9545454545454546,0.08029303113087818,0.09218635942598037
16,enhanced,Compressed + Interaction,315,178,0.1,None,0.938320707070707,0.9333333333333333,0.9325842696629213,0.9130434782608695,0.9545454545454546,0.07439707518594856,0.11264392656379753
17,orig_quality_hr,Original: Quality + HR,300,172,0.1,balanced,0.9300798700419656,0.9221556886227545,0.9244186046511628,0.9166666666666666,0.927710843373494,0.0774398668809663,0.07942035186371578
17,orig_sleep_pa,Original: Sleep + PA,300,172,0.1,None,0.9353594151888452,0.9090909090909091,0.9127906976744186,0.9146341463414634,0.9036144578313253,0.08785714290036012,0.08196220529309091
17,orig_sleep_hr,Original: Sleep + HR,300,172,0.1,None,0.9291322593745769,0.9221556886227545,0.9244186046511628,0.9166666666666666,0.927710843373494,0.08441224083361636,0.0869450773867282
17,orig_quality_pa,Original: Quality + PA,300,172,0.1,None,0.940774333288209,0.9333333333333333,0.936046511627907,0.9390243902439024,0.927710843373494,0.08342262625761372,0.07882953420162991
17,compressed,Compressed Derived,300,172,0.1,None,0.9310274807093544,0.9333333333333333,0.936046511627907,0.9390243902439024,0.927710843373494,0.08221115933566922,0.08122542798785241
17,enhanced,Compressed + Interaction,300,172,0.1,None,0.9330580749966156,0.9090909090909091,0.9127906976744186,0.9146341463414634,0.9036144578313253,0.08049762837772066,0.06476434579055572
