comparison,metric,mean_diff,empirical_low,empirical_high,superiority_prob
Original: Quality + PA - Original: Quality + HR,roc_auc,0.0018017647923442765,-0.020193333988571333,0.020606236786469365,0.5375
Original: Quality + PA - Original: Quality + HR,f1,-0.0006982924835376894,-0.03130908613445378,0.03849448754593699,0.225
Original: Quality + PA - Original: Quality + HR,brier,-0.0005430018421744687,-0.011056495191882088,0.006036141768486349,0.425
Original: Quality + PA - Original: Quality + HR,ece,-0.0011016060358439944,-0.033251725483505135,0.020967509539048718,0.5375
Original: Quality + PA - Original: Sleep + PA,roc_auc,0.0011768351420198705,-0.008476631393298097,0.014456926929308668,0.525
Original: Quality + PA - Original: Sleep + PA,f1,0.009905331092660709,-0.016344242960342113,0.030632646473532373,0.3875
Original: Quality + PA - Original: Sleep + PA,brier,-0.006387207718204499,-0.015541648216779447,-0.0012754471093405953,0.9875
Original: Quality + PA - Original: Sleep + PA,ece,-0.007877276335847361,-0.042321789332187804,0.01933660672096733,0.6875
Original: Quality + PA - Original: Sleep + HR,roc_auc,0.00021843693710431046,-0.022000315258511823,0.024738597277521823,0.4375
Original: Quality + PA - Original: Sleep + HR,f1,0.005901513939810579,-0.01854201680672269,0.030479401381029017,0.2875
Original: Quality + PA - Original: Sleep + HR,brier,-0.003936739201499249,-0.01317498735902613,0.003306888679818282,0.9
Original: Quality + PA - Original: Sleep + HR,ece,-0.004884345529798027,-0.03408051204929633,0.020910059351366167,0.65
Original: Quality + PA - Compressed Derived,roc_auc,0.0032428773106948972,-0.01799125763895602,0.03134527446136047,0.675
Original: Quality + PA - Compressed Derived,f1,0.004333045651171062,-0.031417025862068966,0.04294973119805117,0.2375
Original: Quality + PA - Compressed Derived,brier,-0.0036377289849629903,-0.01843193568209298,0.002580544808388979,0.7875
Original: Quality + PA - Compressed Derived,ece,-0.006494281239919242,-0.0375543242174392,0.025229823157409854,0.6875
Original: Quality + PA - Compressed + Interaction,roc_auc,0.0020212793772820814,-0.015905095062566474,0.02376776594192324,0.6
Original: Quality + PA - Compressed + Interaction,f1,0.004864314327108254,-0.018802901906533828,0.04093993801640025,0.3
Original: Quality + PA - Compressed + Interaction,brier,-0.0035211456924783037,-0.015511532681666588,0.004439628796613615,0.8625
Original: Quality + PA - Compressed + Interaction,ece,-0.0017487408689203724,-0.03166096756926692,0.02801574077646103,0.5
