class,feature_label,full_coef,dedup_coef,sign_same,abs_delta
Insomnia,BMI Risk,1.0001954124971018,0.42374388508170613,True,0.5764515274153956
Insomnia,Mean Arterial Pressure,-0.937215623369629,-0.4243790005481702,True,0.5128366228214589
Insomnia,Age,-0.031019272067119626,-0.4633886877821712,True,0.43236941571505155
Insomnia,Male,0.17466466957847118,-0.13099124384639002,False,0.3056559134248612
Insomnia,Heart Rate,-0.8088128761689044,-0.5439710617844838,True,0.26484181438442056
Insomnia,Sleep Deficit (vs 7h),-0.12243790552230445,-0.33721815274973554,True,0.2147802472274311
Insomnia,Pulse Pressure,0.9550004076151092,1.0026434215046809,True,0.047643013889571706
Insomnia,Sleep-Stress Balance,-0.591117777482572,-0.5679048722449564,True,0.023212905237615544
None,Mean Arterial Pressure,-0.6835039137665888,-0.3296330968201899,True,0.35387081694639894
None,Male,0.23919948341900105,0.5791468343691317,True,0.3399473509501307
None,BMI Risk,-0.7698471501327054,-0.43593285804050047,True,0.33391429209220497
None,Pulse Pressure,-0.07096927672315793,-0.31832710366072225,True,0.2473578269375643
None,Age,-0.07317530995920517,0.08342347961470065,False,0.15659878957390583
None,Sleep-Stress Balance,0.4268419681904385,0.5382674005519297,True,0.11142543236149116
None,Heart Rate,-0.13699926361199005,-0.15625731294806383,True,0.01925804933607378
None,Sleep Deficit (vs 7h),0.36109839717946113,0.3514455956171259,True,0.009652801562335223
Sleep Apnea,Mean Arterial Pressure,1.6207195371362173,0.7540120973683598,True,0.8667074397678575
Sleep Apnea,Age,0.104194582026326,0.3799652081674706,True,0.27577062614114456
Sleep Apnea,Heart Rate,0.9458121397808955,0.7002283747325481,True,0.24558376504834745
Sleep Apnea,BMI Risk,-0.23034826236439626,0.01218897295879473,False,0.242537235323191
Sleep Apnea,Sleep Deficit (vs 7h),-0.23866049165715486,-0.014227442867389764,True,0.2244330487897651
Sleep Apnea,Pulse Pressure,-0.8840311308919505,-0.6843163178439589,True,0.19971481304799166
Sleep Apnea,Sleep-Stress Balance,0.164275809292133,0.029637471693026086,True,0.13463833759910693
Sleep Apnea,Male,-0.41386415299747437,-0.44815559052274156,True,0.0342914375252672
